Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
Its a Matter of Taste (Pty) Ltd t/a By Word of Mouth,89595601,Danielle Geddes,01-10-2018 09:44:11,March,14,Registered,yes,In-House 5000,18-02-2019,no,On Track,yes,NA,Yes,0
Concord Cranes,0,YES Administrator,01-10-2018 15:47:20,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Innovent Rental and Asset Management Solutions (Pty) Ltd,152161156,YES Administrator,01-10-2018 16:14:09,July,9,Calculating for BBBEE,yes,NA,NA,yes,Archived,no,NA,NA,0
MAWELE INVESTMENT CC Trading as Twinz Regulatory Affairs Pharmacist Consultants,0,YES Administrator,02-10-2018 07:52:28,NA,1,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Pandom Global,0,YES Administrator,02-10-2018 08:58:04,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Mondi Limited,0,Marc Ashton,02-10-2018 09:16:10,January,5,Registered,no,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Advance on Point Solutions,22024000,Danielle Geddes,02-10-2018 10:46:17,March,8,Registered,yes,Small Biz 1700,29-01-2019,no,On Track,yes,Yes,Yes,6
Crownmill Trading (Pty) Ltd,71989357,Zintle Raziya,02-10-2018 10:50:00,October,12,Registered,yes,In-House Assist - 7000,01-12-2018,no,On Track,yes,NA,Yes,0
Rhomberg Instruments,0,YES Administrator,02-10-2018 15:12:32,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Optico Pty Ltd,0,YES Administrator,02-10-2018 18:06:10,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Swissport S.A.,716498980,YES Administrator,02-10-2018 23:39:19,January,42,Registered,yes,In-House - 5000,NA,no,On Track,yes,NA,Yes,0
BL Williams (Pty) Ltd,0,YES Administrator,03-10-2018 08:10:42,March,0,Awaiting Pledge and Payment,yes,NA,NA,yes,Archived,no,NA,NA,0
Giesecke and Devrient Currency Technology South Africa (Pty) Ltd - deleted,0,YES Administrator,03-10-2018 16:40:35,NA,0,NA,no,NA,NA,no,Archived,no,NA,NA,0
Terra Firma Solutions (Pty) Ltd,175759864,Danielle Geddes,04-10-2018 06:37:50,October,9,Registered,yes,In-House - 5000,25-11-2019,no,On Track,yes,NA,Yes,0
Huawei Technologies Africa (Pty) Ltd,7889601423,Zintle Raziya,04-10-2018 12:37:10,January,17,Registered,yes,In-House 5000,11-02-2019,no,On - Track August 2019,yes,NA,Yes,4
Seiso agricultural consultancy,0,YES Administrator,05-10-2018 14:02:03,February,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
ArcelorMittal Transaformation Centre NPC,45000000000,Lara Grieve,07-10-2018 07:38:34,January,129,Registered,yes,In-House 5000,01-02-2019,no,On Track,yes,Yes,Yes,6
Chipkins Puratos,1198931181,Zintle Raziya,08-10-2018 07:48:45,January,15,Registered,yes,In-House - 5000,03-09-2018,no,On Track,yes,Yes,Yes,0
Buckman Laboratories Pty Ltd,641998783,Tracey Czakan,08-10-2018 12:44:23,January,20,Registered,yes,In-House Assist - 7000,NA,no,On Track,yes,Yes,Yes,0
Shoprite Checkers (Pty) Ltd,113159666667,T M,08-10-2018 12:47:24,July,1851,Registered,yes,In-House 5000,12-11-2018,no,On - Track August 2019,yes,NA,Not Taking Phones,18
Corporate Skills Development Services,0,YES Administrator,08-10-2018 15:35:05,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
VML SA,0,YES Administrator,09-10-2018 09:25:36,December,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Fuchs Lubricants South Africa,956059333,Itumeleng Lentsoane,09-10-2018 10:07:58,December,15,Registered,yes,In-House - 5000,NA,no,Archived,no,NA,NA,0
Supreme Spring,506615536,YES Administrator,09-10-2018 12:35:16,January,15,Registered,yes,In-House - 5000,01-10-2019,no,On Track,yes,NA,Partial Delivery,0
Henley Business School,0,YES Administrator,10-10-2018 11:39:38,NA,0,NA,no,NA,NA,no,Archived,no,NA,NA,0
Hitachi Vantara,500000000,YES Administrator,10-10-2018 13:50:05,April,30,Registered,yes,In-House 5000,15-07-2019,no,On - Track August 2019,yes,NA,NA,0
Rand Internatonal Management and Training Consultant Ltd (Ptd),6650000,YES Administrator,10-10-2018 15:31:43,February,2,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
The Training Room Online,0,YES Administrator,11-10-2018 14:27:14,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Dinoko Automation Service and Repairs,0,YES Administrator,11-10-2018 16:06:57,NA,0,NA,no,NA,NA,no,Archived,no,NA,NA,0
Stillo Tyra Training Center (Pty) Ltd,0,YES Administrator,12-10-2018 15:28:21,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Golden Ribbon Trading 445 (PTY) LTD,1000000,YES Administrator,12-10-2018 15:41:08,March,2,Awaiting Pledge and Payment,yes,Host Placement - 9000,NA,no,Archived,no,NA,NA,0
Bee Online Advisory,0,YES Administrator,13-10-2018 18:03:13,NA,0,NA,no,In-House - 5000,NA,no,Archived,no,NA,NA,0
Nathan's CCTV Systems CC T/A EagleCCTV,0,YES Administrator,13-10-2018 19:29:49,February,0,Awaiting Pledge and Payment,yes,NA,NA,yes,Archived,no,NA,NA,0
Intermine Agencies,0,YES Administrator,15-10-2018 09:40:27,March,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Kaymac (Pty) Ltd t/a Kaytech,0,YES Administrator,15-10-2018 10:28:01,NA,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Kaizen Solutions,0,YES Administrator,15-10-2018 11:50:16,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Telfer & Associates Inc,0,YES Administrator,16-10-2018 13:12:37,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Shuter & Shooter Publishers (Pty) Ltd,199000000,YES Administrator,16-10-2018 13:29:47,February,9,Registered,yes,In-House 5000,01-03-2019,no,On Track,yes,NA,Yes,1
Germ Africa (Pty) Ltd,0,YES Administrator,16-10-2018 14:16:30,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
Legadima Human Capital (Pty) Ltd,0,YES Administrator,16-10-2018 14:16:31,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
SCT Supply Chain Solutions (Pty) Ltd,0,YES Administrator,16-10-2018 15:27:06,NA,0,Calculating for BBBEE,yes,NA,NA,yes,On Hold - Transport Sector,no,NA,NA,0
Ofcolaco Packers Pty Ltd,25000000,YES Administrator,17-10-2018 10:33:59,March,2,Calculating for BBBEE,yes,In-House - 5000,NA,no,On - Track August 2019,no,NA,NA,0
SMEI Projects (Pty) Ltd,732904183,Zintle Raziya,17-10-2018 10:50:00,March,30,Registered,yes,In-House - 5000,12-12-2018,no,On - Track August 2019,yes,NA,NA,0
Steel Studio,0,YES Administrator,17-10-2018 13:24:10,NA,0,Calculating for BBBEE,yes,NA,NA,yes,Archived,no,NA,NA,0
Highbury Media,190000000,YES Administrator,17-10-2018 14:03:23,July,9,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
Zeal HR Pty Ltd,2729898,YES Administrator,17-10-2018 14:12:27,March,1,Registered,yes,Small Biz 1700,03-06-2019,no,NA,yes,NA,Yes,0
Dry Dock Liquor (Pty) Ltd,5733000,YES Administrator,17-10-2018 14:14:20,NA,1,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
MTN Group Management Services,0,T M,17-10-2018 16:48:57,January,100,Registered,yes,In-House Assist - 7000,01-12-2018,no,On Track,yes,NA,Yes,0
Adcock Ingram Healthcare (Pty) Ltd,6000000000,Zintle Raziya,17-10-2018 17:09:50,July,132,Registered,yes,In-House - 5000,01-11-2018,no,On Track,yes,Yes,Yes,1
Cannon Asset Managers,0,YES Administrator,17-10-2018 23:35:06,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
FORTRESS REIT LIMITED,0,Marc Ashton,18-10-2018 09:14:47,July,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Rapid 3D JV (Pty) Ltd,24000000,Danielle Geddes,18-10-2018 13:37:19,September,2,Registered,yes,Small Biz - 1700,NA,no,On - Track August 2019,no,NA,NA,0
WOW Marketing Services (Pty) Ltd,26325000,Danielle Geddes,18-10-2018 15:31:27,March,3,Registered,yes,Small Biz 1700,25-02-2019,no,On Track,yes,NA,Partial Delivery,0
Digistics (PTY) LTD,0,YES Administrator,19-10-2018 11:11:21,July,0,Calculating for BBBEE,yes,NA,NA,no,On Hold - Transport Sector,no,NA,NA,0
Smollan Group SA (Pty) Ltd,0,YES Administrator,19-10-2018 11:49:46,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Monocle Solutions,116289482,Danielle Geddes,19-10-2018 12:15:33,February,21,Registered,no,In-House 5000,03-01-2019,no,On Track,yes,NA,Yes,1
"Barone, Budge and Dominick (Pty) Ltd",565198624.66999996,YES Administrator,19-10-2018 14:49:18,March,30,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
WF Kroon Projects (Pty) Ltd,268044497,YES Administrator,21-10-2018 16:54:35,September,17,Awaiting Pledge and Payment,yes,In-House Assist - 7000,NA,no,Archived,no,NA,NA,0
PG Group (Pty) Ltd,3728002000,Lara Grieve,22-10-2018 07:48:13,January,104,Registered,yes,In-House Assist - 7000,20-05-2019,no,On Track,yes,NA,Yes,6
Obel Recyclers,0,YES Administrator,22-10-2018 14:23:59,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
Verifone Africa (Pty) Ltd,477489967,Zintle Raziya,22-10-2018 14:24:11,November,19,Registered,yes,Host Placement - 9000,01-01-2019,no,On Track,yes,NA,Yes,0
Commercial & Industrial Acceptances (Pty) Ltd,0,YES Administrator,23-10-2018 07:07:49,January,1,Registered,yes,In-House 5000,15-01-2019,no,On Track,yes,NA,Yes,0
Bidfood (Pty) Ltd,4597471653,Zintle Raziya,23-10-2018 09:08:35,July,44,Registered,yes,In-House 5000,01-07-2018,no,On - Track August 2019,yes,NA,Yes,5
Crown Food Group,2054808559,YES Administrator,23-10-2018 09:17:33,July,24,Registered,yes,In-House - 5000,NA,no,On Track,yes,NA,Partial Delivery,6
Zululand Anthracite Colliery,742951985,Danielle Geddes,23-10-2018 11:23:25,January,30,Registered,yes,In-House - 5000,05-03-2019,no,On Track,yes,NA,Partial Delivery,0
MIP Holdings Pty Ltd,213333333,Pearl Dippenaar,23-10-2018 13:43:31,October,10,Registered,yes,In-House - 5000,NA,no,On - Track August 2019,yes,NA,NA,1
Afrizan Cadet Academy (Pty) Ltd,8000000,YES Administrator,24-10-2018 09:43:05,March,12,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
Illovo Sugar South Africa,0,Lara Grieve,24-10-2018 10:05:53,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Incledon (Pty) Ltd,890564693,YES Administrator,24-10-2018 12:39:47,April,15,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
R and H Rail (Pty) Ltd,49867352,YES Administrator,24-10-2018 13:06:24,January,6,Registered,yes,Host Placement 9000,01-05-2019,no,NA,yes,NA,Yes,0
LFP Training Consultants,37369226,Danielle Geddes,24-10-2018 15:13:16,March,7,Registered,yes,Small Biz - 1700,NA,no,On - Track August 2019,no,NA,NA,0
Safarmex Pty Ltd,300000000,Danielle Geddes,25-10-2018 08:32:27,March,12,Registered,yes,NA,01-01-2019,no,On Track,yes,NA,Yes,0
Super Bollar Company (Pty) Ltd,1000,YES Administrator,25-10-2018 12:20:56,February,1,Registered,yes,NA,NA,no,Potential Host,no,NA,NA,0
Labourwise Human Resources (Pty) Lltd,0,YES Administrator,25-10-2018 13:39:53,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Bidfreight Port Operations,0,YES Administrator,26-10-2018 11:57:26,July,0,Adding Business Details,yes,In-House - 5000,NA,no,On Hold - Transport Sector,no,NA,NA,0
Telesure Investment Holdings (Pty) Ltd,4024626000,YES Administrator,26-10-2018 14:18:25,July,266,Registered,yes,In-House - 5000,01-01-2019,no,On Track,yes,NA,Yes,0
TUV SUD South Africa (Pty) Ltd,0,YES Administrator,29-10-2018 07:51:35,January,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Moov Fuel (Pty) Ltd,2900000000,Danielle Geddes,29-10-2018 11:10:41,March,25,Registered,yes,In-House - 5000,01-11-2018,no,On Track,yes,NA,Partial Delivery,0
RoseTree,0,YES Administrator,29-10-2018 11:19:53,January,4,Registered,no,NA,NA,yes,Archived,no,NA,NA,0
Discovery Health (Pty) Limited,6289667000,Itumeleng Lentsoane,29-10-2018 17:38:46,July,450,Registered,yes,In-House 5000,01-10-2018,no,On - Track August 2019,yes,NA,NA,12
Safarmex Medical Logistics,170000000,Danielle Geddes,30-10-2018 11:41:55,March,9,Registered,yes,In-House 5000,18-02-2019,no,NA,yes,NA,Yes,0
Imprint Inc Cc,0,YES Administrator,30-10-2018 19:27:09,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
Isuzu Motors South Africa (Pty)LTD,4000000000,Leseli Lolwana,31-10-2018 12:11:41,January,32,Calculating for BBBEE,yes,NA,NA,yes,On - Track August 2019,no,NA,NA,0
Zethu Consulting Services,31120831,Itumeleng Lentsoane,31-10-2018 12:17:03,February,1,Registered,yes,In-House 5000,02-01-2019,no,On Track,yes,NA,Yes,1
IQ Business PTY (Ltd),429322873,T M,31-10-2018 14:01:59,July,28,Registered,yes,In-House 5000,23-01-2019,no,On Track,yes,NA,Partial Delivery,0
Rebangwe Projects (pty) Ltd,0,YES Administrator,31-10-2018 21:46:04,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Ntwaleng Trading,23066600,Itumeleng Lentsoane,01-11-2018 11:53:10,March,2,Registered,yes,In-House 5000,02-01-2019,no,NA,yes,NA,Yes,0
Carl Zeiss PTY limited,238183756,Zintle Raziya,01-11-2018 14:03:15,October,20,Registered,yes,Host Placement - 9000,01-03-2019,no,On - Track August 2019,yes,Yes,Yes,0
Professional Cost Consultants (Pty) Ltd,83347571,Zintle Raziya,01-11-2018 14:19:13,March,14,Registered,yes,In-House - 5000,NA,no,NA,yes,NA,Yes,0
Riviera Hire Pty Ltd,0,YES Administrator,01-11-2018 16:30:13,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
WNS Global Services SA,924703636,Itumeleng Lentsoane,02-11-2018 10:41:13,May,122,Registered,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
African Marine Solutions Group (Pty) Ltd,0,YES Administrator,02-11-2018 14:57:44,NA,0,Initial Signup,no,In-House - 5000,NA,no,Archived,no,NA,NA,0
nedbank,0,YES Administrator,03-11-2018 08:11:15,NA,0,Initial Signup,no,Host Placement - 9000,NA,no,Archived,no,NA,NA,0
Ndiambani,0,YES Administrator,04-11-2018 09:56:15,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
SSA Acoustic & Specialised Inspections (Pty) Ltd,11262901,YES Administrator,05-11-2018 09:11:30,March,2,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
BEE Easy Gateway (Pty) Ltd,0,YES Administrator,05-11-2018 09:20:26,February,0,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
Haggai Academy of Learning (Pty) Ltd,0,YES Administrator,05-11-2018 09:25:12,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
Haggai Training Services (Pty) Ltd,0,YES Administrator,05-11-2018 09:27:23,March,0,Calculating for Non-BBBEE,no,NA,NA,yes,Archived,no,NA,NA,0
Young Africa Business Development Agency (Pty) Ltd,0,YES Administrator,05-11-2018 09:30:50,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
Gemalto Southern Africa Pty Ltd,644000000,Danielle Geddes,05-11-2018 11:02:10,January,30,Registered,yes,In-House - 5000,03-12-2018,no,NA,yes,NA,Yes,15
Media Host (Pty) Ltd,0,YES Administrator,05-11-2018 11:18:36,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Fibretronic Sales,0,YES Administrator,05-11-2018 17:22:50,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Advanced Aessessments and Training,0,YES Administrator,06-11-2018 06:19:46,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
Freightmore Cape Town,0,YES Administrator,06-11-2018 10:02:06,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Damen Shipyards Cape Town,388448541,YES Administrator,06-11-2018 11:15:48,January,13,Registered,yes,In-House 5000,01-03-2019,no,NA,yes,NA,Yes,0
Alfred H Knight South Africa (Pty) Ltd,39000000,Danielle Geddes,06-11-2018 12:21:38,January,3,Registered,yes,In-House - 5000,10-12-2018,no,On Track,yes,Yes,Yes,0
Alfred H Knight Ukwanda (Pty) Ltd,51000000,Itumeleng Lentsoane,06-11-2018 13:58:27,January,12,Registered,yes,In-House - 5000,NA,no,Archived,no,NA,NA,0
Black & Veatch SA Pty Ltd,0,YES Administrator,07-11-2018 11:19:19,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
BROAD RIVER MEDIA,0,Itumeleng Lentsoane,07-11-2018 12:00:47,April,1,Registered,no,Small Biz - 1700,NA,no,Archived,no,NA,NA,0
ET Consult,6000000,YES Administrator,07-11-2018 13:28:37,March,1,Registered,yes,Small Biz 1700,25-01-2019,no,On Track,yes,NA,Yes,0
People B HR Solutions,0,YES Administrator,07-11-2018 13:30:49,February,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
WestconGroup SA (Pty) Ltd,1500000000,YES Administrator,07-11-2018 14:38:17,March,15,Registered,yes,In-House 5000,01-03-2019,no,On Track,yes,NA,Yes,2
Widney Transport Components,160000000,Itumeleng Lentsoane,07-11-2018 16:27:25,January,9,Registered,yes,In-House 5000,07-12-2018,no,NA,yes,NA,Yes,0
APL Cartons (Pty) Ltd,963084465,YES Administrator,08-11-2018 08:02:45,October,20,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
RISK TEK SERVICES (PTY) LTD,0,YES Administrator,08-11-2018 08:55:14,February,2,Registered,no,NA,NA,no,Archived,no,NA,NA,0
SGS SA ( Pty) Ltd,1078411280,YES Administrator,08-11-2018 10:28:40,January,66,Registered,yes,In-House 5000,01-02-2019,no,On Track,yes,NA,Partial Delivery,4
Rad Boyd,0,YES Administrator,08-11-2018 11:00:39,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
NESTLIFE,0,YES Administrator,08-11-2018 11:14:32,February,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Famous Brands Limited,0,Zintle Raziya,08-11-2018 15:32:50,NA,0,Initial Signup,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Lumotech (Pty) Ltd.,462587000,YES Administrator,09-11-2018 07:28:43,January,15,Registered,no,NA,NA,no,Requested Refund,no,NA,NA,0
Rokwil Civils Pty Ltd,223000000,YES Administrator,09-11-2018 15:05:13,June,10,Calculating for BBBEE,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Mobile Telephone Networks (Pty) Limited,41147234.219999999,T M,12-11-2018 09:47:46,January,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Santam,0,Lara Grieve,12-11-2018 11:22:14,January,80,Calculating for Non-BBBEE,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
Wahl Clipper (Pty) Ltd,190000000,YES Administrator,13-11-2018 09:46:55,January,9,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Hiab (Pty) Ltd,0,Danielle Geddes,13-11-2018 10:31:29,January,0,Registered,yes,NA,NA,no,Requested Refund,no,NA,NA,0
Delta Built Environment Consultants (Pty) Ltd,113729069,Danielle Geddes,13-11-2018 11:08:58,March,8,Registered,yes,In-House 5000,01-03-2018,no,Archived,no,NA,NA,0
Biccari Bollo Mariano Inc,0,YES Administrator,13-11-2018 11:09:16,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Hiload Inyanga Construction (Pty) Ltd,65000000,YES Administrator,13-11-2018 12:03:00,March,12,Awaiting Pledge and Payment,yes,NA,NA,no,On Hold - Other,no,NA,NA,0
Perfect Slate CC,0,Danielle Geddes,13-11-2018 12:14:39,March,3,Registered,yes,In-House Assist - 7000,NA,no,Archived,no,NA,NA,0
Citeplan,5000000,Danielle Geddes,14-11-2018 13:03:51,March,1,Registered,yes,Small Biz - 1700,NA,no,NA,yes,Yes,Yes,0
The College Of Production Technology,36920442,YES Administrator,14-11-2018 13:12:47,March,2,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Bryte Life Company Ltd,176847000,YES Administrator,14-11-2018 16:07:35,January,18,Registered,yes,In-House 5000,01-02-2019,no,NA,yes,Yes,Yes,0
Frys Metals,1067130000,YES Administrator,15-11-2018 13:20:34,January,20,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Aggy-M Foods Services,0,YES Administrator,15-11-2018 13:26:49,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
RENTOKIL INITIAL SA PTY LTD,440000000,YES Administrator,15-11-2018 14:36:43,January,23,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
Ascendis Management Service,3998614000,YES Administrator,16-11-2018 11:42:19,June,0,Registered,yes,In-House 5000,30-06-2019,no,Archived,no,NA,NA,0
Sanlam Life Insurance Limited,0,Zintle Raziya,19-11-2018 11:15:10,January,150,Registered,no,In-House - 5000,01-08-2018,no,On - Track August 2019,no,NA,NA,0
Europ Assistance South Africa,0,YES Administrator,19-11-2018 11:48:12,January,11,Registered,yes,In-House - 5000,12-12-2018,no,On Track,yes,NA,Partial Delivery,0
HellermannTyton (Pty) Ltd,408276024,YES Administrator,20-11-2018 09:42:30,January,14,Registered,yes,In-House Assisted 7000,NA,no,On - Track August 2019,no,NA,NA,0
Mzantsi Multimedia,0,YES Administrator,21-11-2018 09:24:34,June,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Reonet,0,YES Administrator,21-11-2018 15:35:50,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Radel (Pty)Ltd,72828215.659999996,YES Administrator,21-11-2018 16:03:29,March,12,Registered,yes,NA,NA,no,Archived,no,NA,NA,0
JC van der Linde & Venter Projects Pty Ltd,510000000,YES Administrator,22-11-2018 08:17:37,March,15,Registered,yes,In-House 5000,07-01-2019,no,On Track,yes,NA,Partial Delivery,0
MMBH,0,YES Administrator,22-11-2018 08:50:13,NA,0,Initial Signup,no,In-House - 5000,NA,no,Archived,no,NA,NA,0
IDL FRESH SOUTH-AFRICA,450000000,YES Administrator,22-11-2018 10:27:32,January,15,Registered,no,NA,NA,no,On Hold - Transport Sector,no,NA,NA,0
Coronation Asset Management,0,YES Administrator,22-11-2018 11:04:49,October,3,Registered,no,In-House 5000,01-03-2019,no,On - Track August 2019,yes,NA,Yes,0
Sishen Iron Ore Company,0,YES Administrator,23-11-2018 03:47:47,January,20,Registered,no,In-House - 5000,01-05-2019,no,On - Track August 2019,no,NA,NA,0
Raffia Manufacturers Pty Ltd,15203523,Itumeleng Lentsoane,23-11-2018 09:57:15,March,1,Registered,yes,In-House - 5000,NA,no,Archived,no,NA,NA,0
ITC Infotech,0,YES Administrator,24-11-2018 16:56:02,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
ZF Lemforder South African Pty Ltd,1503706354,YES Administrator,26-11-2018 14:23:14,December,17,Registered,yes,In-House 5000,14-12-2018,no,On - Track August 2019,yes,NA,Yes,3
ITC Infotech India Limited,74000000,YES Administrator,26-11-2018 15:13:33,April,12,Registered,yes,In-House 5000,01-03-2019,no,On Track,yes,NA,Yes,0
Afrocentric Health (RF) (PTY) Limited,0,YES Administrator,27-11-2018 10:53:44,NA,0,Initial Signup,no,NA,NA,yes,Archived,no,NA,NA,0
Contitech South Africa (Pty) Ltd.,583815083,YES Administrator,27-11-2018 15:42:15,January,17,Registered,yes,In-House - 5000,NA,no,NA,yes,NA,Yes,0
Vox Telecom,0,YES Administrator,27-11-2018 15:52:43,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
ANANZI PHARMA (Pty) Ltd,300000,YES Administrator,27-11-2018 16:06:03,March,1,Registered,yes,In-House Assist - 7000,01-02-2019,no,NA,yes,Yes,Yes,0
Contitech Africa (Pty) Ltd,598883000,YES Administrator,27-11-2018 16:13:14,January,17,Registered,yes,In-House - 5000,NA,no,On Track,yes,NA,Yes,0
Air Liquide (Pty) Ltd,1286672821,Justin Christie,27-11-2018 16:41:08,January,16,Registered,yes,In-House - 5000,NA,no,On - Track August 2019,no,NA,NA,0
Lumotech,0,YES Administrator,28-11-2018 09:19:03,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
NOSA PTY LTD,0,YES Administrator,28-11-2018 12:26:22,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
National Secuirty & Fire(Pty)Ltd,0,YES Administrator,28-11-2018 13:39:01,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Talbot & Talbot (Pty) Ltd,110000000,Itumeleng Lentsoane,28-11-2018 16:07:50,January,14,Registered,yes,In-House - 5000,10-12-2018,no,NA,yes,NA,Yes,0
Maitland Group South Africa Limited,554859589,YES Administrator,28-11-2018 16:17:46,May,30,Registered,yes,In-House 5000,01-02-2019,no,NA,yes,NA,Yes,4
Sasol,0,Bongiwe Beja,28-11-2018 16:20:53,July,354,Registered,yes,In-House - 5000,07-11-2018,no,On - Track August 2019,no,NA,Not Taking Phones,0
Tarsus Distribution (Pty) Ltd,5300000000,YES Administrator,29-11-2018 10:11:01,March,30,Registered,yes,In-House 5000,11-02-2019,no,NA,yes,NA,Yes,0
Nestle South Africa,10345560000,Zintle Raziya,29-11-2018 14:06:59,January,198,Registered,yes,NA,01-01-2019,no,NA,yes,NA,Yes,0
EMV AFRICA (PTY) LTD,0,YES Administrator,29-11-2018 16:51:42,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
RWW Engineering (Pty) Ltd,125000000,YES Administrator,30-11-2018 08:48:09,March,8,Registered,yes,In-House 5000,04-03-2019,no,On Track,yes,NA,Yes,0
Saficon Industrial Equipment (PTY) Ltd,0,YES Administrator,30-11-2018 10:21:47,September,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
MegChem (Pty) Ltd,450000000,YES Administrator,30-11-2018 10:24:48,July,16,Registered,yes,In-House 5000,07-01-2019,no,NA,yes,NA,Yes,0
Wildlands Conservation Trust,0,YES Administrator,30-11-2018 13:14:04,July,0,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
Vesuvius South Africa,926827464,YES Administrator,30-11-2018 13:38:29,January,15,Registered,yes,Host Placement - 9000,19-12-2018,no,NA,yes,NA,Yes,0
BEYOND BRICK AND MORTAR (PTY) LTD,0,YES Administrator,01-12-2018 09:10:05,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
